,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_title,album_title,album_artist,track_number,total_tracks,song_timbre,song_timbre_start,song_timbre_end,loudness_start,loudness_end
0,0.341,0.293,9,-12.408,1,0.0356,0.756,2.31e-05,0.0833,0.178,93.294,3js9UOPVsguIDI2WyycfRJ,249213,4,Doing Alright - Remastered 2011,Queen,Queen,2,10,0.35094235674988467,0.31281120699788656,0.516977532521026,-28.745761904761903,-39.011624999999995
1,0.62,0.627,9,-5.889,1,0.0259,0.0317,0,0.172,0.164,90.955,26AuyrZGzWWiYZPSd3XBIg,224280,4,Bloodstream,Memories...Do Not Open,The Chainsmokers,3,10,0.37342305233660344,0.4979674792815226,0.41356944520542144,-25.4762,-9.687743119266054
2,0.554,0.864,2,-4.403,1,0.0889,0.00166,0,0.119,0.305,126.975,3rnBqIIoxOpQ0p9BeW3NT4,201260,4,Back To Life,Back To Life,DubVision,1,10,0.17134701954034623,0.18450439036724803,0.23185840489938184,-18.426263157894738,-5.820718749999999
3,0.671,0.874,0,-4.188,1,0.0448,0.0829,2.72e-05,0.294,0.747,109.96,22jEGuVPtvtMqKPuXdOVCh,152203,4,SAD (Clap Your Hands),SAD / Scatterbrain,Young Rising Sons,1,10,0.19277420496126932,0.3947893968410179,0.17983889690155314,-13.147555555555554,-2.188657894736842
4,0.753,0.782,7,-5.826,1,0.118,0.0106,3.58e-06,0.111,0.15,100.006,77Dn6Y5SzjCzfXLjy89dYB,184800,4,Broken Child (feat. JDAM & LissA),Broken Child (feat. JDAM & LissA),Not Your Dope,1,10,0.31973786707924495,0.7023087017903608,0.3539511122521865,-30.506822222222223,-7.015740000000001
5,0.859,0.625,1,-5.437,1,0.0914,0.00538,0.000124,0.184,0.636,149.948,5y2K7jr9M8t1HRAu9jzssT,219737,4,No Security,No Security,Skepta,1,10,0.22429210752968204,0.19274282767711245,0.356288214073821,-9.921939393939395,-8.810196078431373
6,0.632,0.805,0,-5.188,1,0.045,0.0646,5.83e-05,0.161,0.429,93.009,6JsfvqClYnc2R5yZ67C2ch,217793,4,"Cross My Mind, Pt. 2 (feat. Kiiara)",Cross My Mind: The Mixtape,A R I Z O N A,1,10,0.32255703010830444,0.44215508406225273,0.45411097111335874,-10.287000000000003,-11.002113207547172
7,0.28,0.449,11,-7.736,1,0.0292,0.638,0.701,0.105,0.103,136.4,2DI0fZ4QZmLtapszYaoG6F,236093,4,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Atlas (From “The Hunger Games: Catching Fire” Soundtrack),Coldplay,1,10,0.2723581999284338,0.8039571087772659,0.2759505384585956,-24.57637037037037,-17.366573529411763
8,0.643,0.445,9,-15.23,0,0.043,0.682,0.931,0.087,0.0714,105.0,1LYipMFKz8X6fNU7RJvvVW,165653,4,Last Kiss,Glorious,ARTY,8,10,0.42575284679048075,0.30416724800403566,0.24004738147385446,-36.863888888888894,-37.37959649122807
9,0.895,0.453,0,-13.987,1,0.0756,0.00196,0.374,0.0982,0.257,122.151,0KQh7AuuZvpTKWhcJa8Pbr,239227,4,Funkytown,Casablanca Records Greatest Hits,Various Artists,5,10,0.3716864403876536,0.4062550599523859,0.4024071162225201,-15.514377358490567,-44.01076
